timestamp,elapsed_time,current_speed,tempomat_target,original_tempomat,distance_to_lead,lead_vehicle_speed,distronic_active,distronic_speed,our_position,lead_position
1752779346.8449988,0.01629161834716797,101,120,120,inf,0.0,False,0,0.0,0.0
1752779346.958896,0.1301887035369873,102,120,120,inf,0.0,False,0,0.0,0.0
1752779347.0673435,0.23863625526428223,103,120,120,inf,0.0,False,0,0.0,0.0
1752779347.1755679,0.3468606472015381,104,120,120,inf,0.0,False,0,0.0,0.0
1752779347.282881,0.4541738033294678,105,120,120,inf,0.0,False,0,0.0,0.0
1752779347.391019,0.5623118877410889,106,120,120,inf,0.0,False,0,0.0,0.0
1752779347.4993253,0.6706180572509766,107,120,120,inf,0.0,False,0,0.0,0.0
1752779347.607309,0.778601884841919,108,120,120,inf,0.0,False,0,0.0,0.0
1752779347.7170262,0.8883190155029297,109,120,120,inf,0.0,False,0,0.0,0.0
1752779347.8266244,0.9979171752929688,110,120,120,inf,0.0,False,0,0.0,0.0
1752779347.9360278,1.1073205471038818,111,120,120,inf,0.0,False,0,0.0,0.0
1752779348.0439246,1.2152173519134521,112,120,120,inf,0.0,False,0,0.0,0.0
1752779348.1522186,1.3235113620758057,113,120,120,inf,0.0,False,0,0.0,0.0
1752779348.259913,1.4312057495117188,114,120,120,inf,0.0,False,0,0.0,0.0
1752779348.3665252,1.5378179550170898,115,120,120,inf,0.0,False,0,0.0,0.0
1752779348.475397,1.6466898918151855,116,120,120,inf,0.0,False,0,0.0,0.0
1752779348.5838788,1.755171537399292,117,120,120,inf,0.0,False,0,0.0,0.0
1752779348.692199,1.8634917736053467,118,120,120,inf,0.0,False,0,0.0,0.0
1752779348.8008623,1.9721550941467285,119,120,120,inf,0.0,False,0,0.0,0.0
1752779348.9093275,2.080620288848877,120,120,120,inf,0.0,False,0,0.0,0.0
1752779349.0186746,2.189967393875122,120,120,120,inf,0.0,False,0,0.0,0.0
1752779349.1279948,2.2992875576019287,120,120,120,inf,0.0,False,0,0.0,0.0
1752779349.2353919,2.406684637069702,120,120,120,inf,0.0,False,0,0.0,0.0
